image,component,n_components,gt_px,sam_score,dice_raw,iou_raw,dice_post,iou_post,dice_tightbox,secs
0001.png,0,1,684,0.876,0.8899,0.8017,0.8873,0.7974,0.8467,1.06
0002.png,0,1,3010,0.731,0.8113,0.6825,0.8145,0.687,0.879,0.99
0003.png,0,1,4982,0.819,0.9666,0.9354,0.9666,0.9354,0.7422,0.97
0004.png,0,1,565,0.872,0.919,0.8501,0.9206,0.8528,0.8853,1.0
0005.png,0,1,1754,0.898,0.9634,0.9294,0.9634,0.9294,0.8927,1.0
0006.png,0,1,1920,0.879,0.9381,0.8835,0.9381,0.8834,0.8579,1.0
0007.png,0,1,5375,0.602,0.8634,0.7596,0.8634,0.7596,0.6684,1.01
0008.png,0,1,2308,0.799,0.9588,0.9209,0.9588,0.9208,0.8906,0.98
0009.png,0,1,10995,0.93,0.9685,0.9389,0.9684,0.9388,0.894,1.02
0010.png,0,1,11281,0.775,0.9486,0.9022,0.949,0.9029,0.7762,1.0
0025.png,0,1,1062,0.826,0.9179,0.8482,0.9162,0.8454,0.7447,0.98
0030.png,0,1,4699,0.913,0.9804,0.9615,0.9806,0.9619,0.9337,0.98
0033.png,0,1,1880,0.825,0.9054,0.8272,0.9048,0.8261,0.8106,1.02
0046.png,0,2,1856,0.881,0.9587,0.9207,0.9587,0.9207,0.9069,0.97
0046.png,1,2,1003,0.871,0.8683,0.7673,0.8686,0.7677,0.8533,0.05
0047.png,0,1,738,0.859,0.8991,0.8167,0.9124,0.839,0.8903,0.94
0057.png,0,1,719,0.893,0.9414,0.8893,0.9407,0.888,0.8748,0.93
0058.png,0,1,3193,0.885,0.95,0.9048,0.9502,0.9051,0.8739,0.96
0062.png,0,1,1118,0.877,0.9755,0.9522,0.9755,0.9522,0.9243,1.02
0068.png,0,1,400,0.846,0.8884,0.7992,0.8904,0.8024,0.9095,1.0
0078.png,0,1,2054,0.917,0.9505,0.9057,0.9505,0.9056,0.9339,1.06
0079.png,0,1,43,0.754,0.5843,0.4127,0.5909,0.4194,0.5946,0.96
0082.png,0,1,1263,0.866,0.8797,0.7852,0.88,0.7857,0.8895,0.97
0085.png,0,1,705,0.886,0.9075,0.8307,0.9072,0.8302,0.8,0.94
0089.png,0,2,2342,0.916,0.9706,0.9429,0.9701,0.942,0.9443,0.94
0089.png,1,2,235,0.822,0.8935,0.8075,0.891,0.8033,0.798,0.04
0096.png,0,1,593,0.864,0.8438,0.7298,0.8475,0.7353,0.8381,0.93
0107.png,0,1,814,0.892,0.9521,0.9086,0.9527,0.9096,0.9241,0.94
0108.png,0,1,4094,0.896,0.9474,0.9,0.9473,0.8999,0.8577,1.01
0122.png,0,1,1525,0.852,0.9573,0.9181,0.9566,0.9168,0.8687,1.03
