image,component,n_components,gt_px,sam_score,dice_raw,iou_raw,dice_post,iou_post,dice_tightbox,secs
0001.png,0,1,684,0.925,0.9002,0.8186,0.9002,0.8186,0.8787,1.13
0002.png,0,1,3010,0.822,0.7689,0.6245,0.7675,0.6228,0.8949,1.2
0003.png,0,1,4982,0.899,0.958,0.9194,0.958,0.9194,0.9361,1.04
0004.png,0,1,565,0.903,0.9039,0.8247,0.9047,0.826,0.8936,0.95
0005.png,0,1,1754,0.917,0.946,0.8976,0.9465,0.8985,0.9495,0.99
0006.png,0,1,1920,0.912,0.9518,0.9081,0.9518,0.9081,0.9114,0.99
0007.png,0,1,5375,0.852,0.8919,0.8048,0.8926,0.806,0.8637,1.01
0008.png,0,1,2308,0.924,0.9452,0.8962,0.9452,0.8962,0.9551,0.97
0009.png,0,1,10995,0.933,0.9771,0.9552,0.9771,0.9552,0.957,0.91
0010.png,0,1,11281,0.924,0.904,0.8249,0.8886,0.7995,0.9204,1.02
0025.png,0,1,1062,0.908,0.9424,0.891,0.9433,0.8926,0.8187,1.0
0030.png,0,1,4699,0.934,0.9679,0.9379,0.9681,0.9383,0.9722,1.0
0033.png,0,1,1880,0.856,0.931,0.8709,0.9317,0.8721,0.8815,1.07
0046.png,0,2,1856,0.938,0.9237,0.8581,0.9243,0.8593,0.9583,0.92
0046.png,1,2,1003,0.885,0.8189,0.6934,0.8196,0.6943,0.8765,0.04
0047.png,0,1,738,0.92,0.8508,0.7404,0.8506,0.7401,0.9033,1.13
0057.png,0,1,719,0.928,0.9347,0.8774,0.9347,0.8774,0.9102,0.97
0058.png,0,1,3193,0.896,0.9455,0.8966,0.9455,0.8966,0.8655,1.02
0062.png,0,1,1118,0.938,0.9803,0.9613,0.9798,0.9604,0.9524,1.06
0068.png,0,1,400,0.886,0.8851,0.7939,0.8811,0.7874,0.9065,0.99
0078.png,0,1,2054,0.934,0.9283,0.8661,0.9283,0.8661,0.9381,0.94
0079.png,0,1,43,0.793,0.6435,0.4744,0.6549,0.4868,0.6744,0.98
0082.png,0,1,1263,0.896,0.8766,0.7803,0.8766,0.7803,0.9132,1.02
0085.png,0,1,705,0.914,0.9028,0.8228,0.9039,0.8246,0.8828,0.96
0089.png,0,2,2342,0.965,0.9774,0.9558,0.9774,0.9558,0.9623,0.94
0089.png,1,2,235,0.894,0.8578,0.7511,0.8551,0.7468,0.7949,0.04
0096.png,0,1,593,0.911,0.8122,0.6838,0.8122,0.6838,0.84,0.95
0107.png,0,1,814,0.915,0.9486,0.9022,0.9486,0.9022,0.9363,0.94
0108.png,0,1,4094,0.936,0.948,0.9012,0.9495,0.9039,0.9318,0.95
0122.png,0,1,1525,0.886,0.957,0.9175,0.9566,0.9168,0.8898,0.99
0124.png,0,1,1976,0.924,0.9343,0.8766,0.934,0.8761,0.9121,0.91
0126.png,0,1,963,0.923,0.9567,0.9169,0.9567,0.9169,0.9216,0.93
0133.png,0,1,3089,0.88,0.9211,0.8537,0.9207,0.8531,0.833,0.95
0134.png,0,1,1992,0.909,0.9678,0.9377,0.9678,0.9377,0.9469,0.97
0136.png,0,4,98,0.895,0.7975,0.6633,0.7975,0.6633,0.6846,0.97
0136.png,1,4,5555,0.957,0.9725,0.9466,0.9726,0.9467,0.9586,0.05
0136.png,2,4,158,0.865,0.748,0.5975,0.748,0.5975,0.6888,0.05
0136.png,3,4,103,0.778,0.8316,0.7117,0.8316,0.7117,0.7205,0.05
0143.png,0,1,360,0.922,0.9325,0.8734,0.9325,0.8734,0.9494,0.95
0146.png,0,1,152,0.9,0.9329,0.8742,0.9293,0.8679,0.8464,1.0
0164.png,0,3,165,0.852,0.8193,0.6939,0.8207,0.6959,0.7606,0.96
0164.png,1,3,1121,0.786,0.7754,0.6332,0.7789,0.6379,0.7778,0.05
0164.png,2,3,292,0.857,0.8365,0.7189,0.8418,0.7268,0.8346,0.04
0177.png,0,1,523,0.87,0.9121,0.8385,0.912,0.8382,0.8483,0.95
0180.png,0,3,984,0.891,0.8815,0.7881,0.8815,0.7881,0.8895,0.94
0180.png,1,3,2053,0.859,0.8153,0.6882,0.815,0.6878,0.896,0.04
0180.png,2,3,942,0.907,0.9006,0.8192,0.901,0.8198,0.8795,0.05
0190.png,0,1,1631,0.934,0.7289,0.5734,0.7295,0.5742,0.7282,0.96
0192.png,0,2,2182,0.928,0.9615,0.9258,0.9617,0.9262,0.945,0.95
0192.png,1,2,1218,0.903,0.8756,0.7787,0.903,0.8231,0.9249,0.04
0201.png,0,1,2641,0.833,0.9533,0.9108,0.9535,0.9111,0.9361,0.97
0203.png,0,2,1057,0.874,0.8759,0.7792,0.8762,0.7797,0.9315,0.93
0203.png,1,2,6290,0.949,0.9688,0.9395,0.969,0.9399,0.9766,0.05
0208.png,0,1,2756,0.923,0.9436,0.8932,0.9436,0.8932,0.9278,0.98
0211.png,0,1,3910,0.908,0.856,0.7482,0.8587,0.7525,0.8719,0.93
0213.png,0,1,2269,0.931,0.9564,0.9165,0.9566,0.9169,0.9378,1.0
0217.png,0,1,2058,0.909,0.9698,0.9413,0.9702,0.9422,0.9524,0.96
0233.png,0,1,285,0.881,0.9128,0.8396,0.9108,0.8362,0.8415,0.97
0235.png,0,1,898,0.909,0.9543,0.9127,0.9543,0.9127,0.8738,0.94
0245.png,0,1,74,0.77,0.5118,0.3439,0.5143,0.3462,0.4746,0.96
0251.png,0,1,192,0.882,0.9074,0.8304,0.9095,0.8341,0.9312,0.95
0256.png,0,1,2498,0.934,0.963,0.9287,0.9636,0.9298,0.9523,0.99
0259.png,0,3,1168,0.896,0.9042,0.8252,0.905,0.8265,0.8472,0.96
0259.png,1,3,1272,0.89,0.8887,0.7997,0.8886,0.7996,0.8707,0.05
0259.png,2,3,329,0.909,0.7394,0.5865,0.737,0.5836,0.7002,0.05
0262.png,0,1,853,0.937,0.9685,0.939,0.9691,0.94,0.9702,0.94
0276.png,0,1,1146,0.897,0.8905,0.8027,0.8889,0.8,0.8593,0.94
0278.png,0,1,558,0.908,0.9578,0.919,0.9578,0.919,0.9249,0.95
0284.png,0,1,735,0.925,0.9538,0.9117,0.9538,0.9117,0.9352,0.99
0289.png,0,1,1025,0.917,0.9544,0.9128,0.9544,0.9128,0.9495,1.0
0291.png,0,1,1569,0.937,0.9513,0.9071,0.9509,0.9065,0.942,0.98
0300.png,0,2,5270,0.954,0.9806,0.9619,0.9806,0.9619,0.9801,1.0
0300.png,1,2,637,0.924,0.947,0.8993,0.947,0.8993,0.9558,0.05
0301.png,0,2,738,0.893,0.95,0.9047,0.95,0.9047,0.8556,0.96
0301.png,1,2,2271,0.94,0.9664,0.9349,0.9666,0.9353,0.9367,0.05
0303.png,0,2,553,0.887,0.9235,0.8579,0.9251,0.8607,0.8191,1.03
0303.png,1,2,2016,0.913,0.9242,0.8591,0.9237,0.8581,0.8962,0.05
0322.png,0,1,543,0.916,0.944,0.8939,0.944,0.8939,0.9071,0.96
0326.png,0,1,15858,0.944,0.8955,0.8108,0.8955,0.8108,0.8854,0.97
0334.png,0,4,73,0.665,0.6618,0.4945,0.6716,0.5056,0.5833,0.96
0334.png,1,4,242,0.683,0.7617,0.6151,0.7656,0.6202,0.726,0.04
0334.png,2,4,2713,0.916,0.9428,0.8917,0.9418,0.89,0.9186,0.04
0334.png,3,4,124,0.774,0.6154,0.4444,0.6154,0.4444,0.6154,0.04
0337.png,0,2,717,0.897,0.8589,0.7527,0.8589,0.7527,0.8748,1.01
0337.png,1,2,459,0.863,0.8104,0.6813,0.8108,0.6818,0.8388,0.04
0339.png,0,2,614,0.903,0.9106,0.8358,0.9106,0.8358,0.8285,0.86
0339.png,1,2,1846,0.912,0.9331,0.8746,0.9328,0.8741,0.9452,0.04
0341.png,0,1,212,0.866,0.7625,0.6161,0.7639,0.618,0.8274,0.93
0349.png,0,2,230,0.824,0.8384,0.7217,0.8354,0.7174,0.7079,0.9
0349.png,1,2,1469,0.882,0.8362,0.7185,0.8405,0.7249,0.8021,0.04
0355.png,0,1,2130,0.916,0.9784,0.9576,0.9781,0.9572,0.9657,0.91
0356.png,0,1,6585,0.951,0.9697,0.9413,0.9697,0.9413,0.9746,0.88
0363.png,0,1,4820,0.936,0.954,0.912,0.9536,0.9114,0.9068,0.84
0365.png,0,1,20164,0.938,0.95,0.9047,0.9509,0.9063,0.9088,0.87
0369.png,0,1,3338,0.917,0.9421,0.8905,0.9422,0.8907,0.9661,0.84
0375.png,0,1,3416,0.966,0.9819,0.9644,0.9819,0.9644,0.986,0.86
0376.png,0,1,821,0.879,0.874,0.7762,0.8749,0.7777,0.926,0.87
0382.png,0,1,17204,0.913,0.96,0.923,0.9606,0.9241,0.9556,0.89
0390.png,0,1,1155,0.907,0.9375,0.8823,0.9386,0.8843,0.9227,0.93
0398.png,0,1,601,0.919,0.9369,0.8813,0.936,0.8797,0.9133,0.89
0405.png,0,1,967,0.936,0.9308,0.8705,0.9308,0.8705,0.9246,0.96
0407.png,0,1,1909,0.864,0.9182,0.8488,0.9179,0.8483,0.8161,0.9
0412.png,0,1,1469,0.902,0.913,0.84,0.9133,0.8404,0.9195,0.9
0416.png,0,1,6997,0.96,0.974,0.9493,0.9741,0.9496,0.98,0.9
0429.png,0,1,2035,0.958,0.972,0.9456,0.972,0.9456,0.9637,0.93
0437.png,0,1,8347,0.944,0.9697,0.9411,0.9699,0.9416,0.9827,0.98
0438.png,0,1,8508,0.918,0.9596,0.9224,0.9605,0.924,0.9535,0.92
0439.png,0,1,2333,0.932,0.9184,0.8491,0.919,0.8501,0.8938,0.92
0447.png,0,1,1032,0.921,0.9277,0.8652,0.9272,0.8643,0.9225,0.88
0450.png,0,1,532,0.894,0.9091,0.8333,0.9091,0.8333,0.8584,0.96
0451.png,0,1,6380,0.958,0.9495,0.9038,0.9494,0.9037,0.9318,0.94
0456.png,0,1,38,0.796,0.8169,0.6905,0.8,0.6667,0.7213,0.96
0466.png,0,1,2220,0.897,0.9532,0.9105,0.9532,0.9105,0.8571,0.88
0470.png,0,1,2912,0.911,0.8637,0.7602,0.8643,0.761,0.9597,0.93
0475.png,0,1,122,0.78,0.8178,0.6917,0.8125,0.6842,0.76,0.85
0485.png,0,1,360,0.826,0.8463,0.7335,0.847,0.7346,0.8161,0.84
0494.png,0,1,1572,0.929,0.9426,0.8914,0.9431,0.8924,0.7782,0.84
0496.png,0,1,1204,0.938,0.9683,0.9386,0.9683,0.9386,0.9562,0.85
0503.png,0,1,2555,0.97,0.9736,0.9486,0.9736,0.9486,0.9762,0.88
0504.png,0,2,1427,0.904,0.8985,0.8157,0.8985,0.8157,0.8446,0.86
0504.png,1,2,1036,0.919,0.828,0.7064,0.8284,0.707,0.7905,0.04
0511.png,0,1,4891,0.934,0.9599,0.9229,0.9599,0.9229,0.9657,0.91
0516.png,0,4,1675,0.882,0.9411,0.8888,0.9411,0.8888,0.88,0.85
0516.png,1,4,2574,0.924,0.901,0.8199,0.901,0.8199,0.8532,0.04
0516.png,2,4,191,0.751,0.7386,0.5855,0.7368,0.5833,0.6454,0.04
0516.png,3,4,175,0.806,0.8473,0.735,0.8497,0.7387,0.8092,0.04
0517.png,0,1,8084,0.944,0.9692,0.9403,0.9694,0.9405,0.9706,0.9
0525.png,0,1,3381,0.938,0.9652,0.9328,0.9652,0.9328,0.9611,0.88
0528.png,0,1,418,0.886,0.9227,0.8565,0.9227,0.8565,0.9335,0.91
0541.png,0,1,2646,0.931,0.9645,0.9314,0.9646,0.9317,0.9496,0.92
0543.png,0,1,2412,0.925,0.9495,0.9039,0.9493,0.9035,0.9421,0.89
0545.png,0,2,6428,0.956,0.9711,0.9437,0.9711,0.9437,0.9773,0.9
0545.png,1,2,409,0.902,0.939,0.885,0.9401,0.8871,0.8841,0.04
0548.png,0,2,2086,0.901,0.9011,0.82,0.9011,0.82,0.8221,0.91
0548.png,1,2,2785,0.867,0.8766,0.7803,0.8765,0.7802,0.8688,0.04
0549.png,0,1,1915,0.783,0.7922,0.6558,0.792,0.6557,0.715,0.89
0557.png,0,1,2948,0.965,0.9613,0.9256,0.9613,0.9256,0.9782,0.87
0559.png,0,1,3897,0.946,0.9747,0.9506,0.9747,0.9506,0.9686,0.86
0565.png,0,1,6618,0.923,0.9532,0.9107,0.9532,0.9105,0.9155,0.85
0566.png,0,1,1649,0.921,0.9499,0.9047,0.9499,0.9047,0.9269,0.84
0571.png,0,1,438,0.908,0.8402,0.7244,0.841,0.7256,0.9107,0.9
0577.png,0,1,1709,0.925,0.9479,0.901,0.9487,0.9024,0.9618,0.91
0580.png,0,1,86,0.897,0.7573,0.6094,0.7549,0.6063,0.7487,0.88
0582.png,0,2,2339,0.937,0.9807,0.9621,0.98,0.9609,0.9579,1.03
0582.png,1,2,475,0.933,0.9483,0.9016,0.9483,0.9016,0.9203,0.04
0588.png,0,1,222,0.902,0.8996,0.8175,0.9035,0.824,0.8163,0.92
0591.png,0,1,1540,0.861,0.7921,0.6557,0.7902,0.6532,0.7515,0.9
0603.png,0,3,3816,0.925,0.9615,0.9259,0.9615,0.9259,0.9281,0.89
0603.png,1,3,1038,0.919,0.85,0.7391,0.8504,0.7397,0.8508,0.05
0603.png,2,3,6009,0.945,0.9655,0.9333,0.9656,0.9334,0.9632,0.05
0604.png,0,3,3138,0.928,0.9379,0.8831,0.9376,0.8825,0.9102,0.91
0604.png,1,3,450,0.878,0.7918,0.6553,0.7902,0.6532,0.7245,0.04
0604.png,2,3,295,0.799,0.82,0.6949,0.8176,0.6915,0.7579,0.04
0607.png,0,1,5292,0.951,0.9674,0.9369,0.9674,0.9369,0.9398,0.92
0612.png,0,1,155,0.88,0.843,0.7286,0.8453,0.7321,0.9,0.9
0615.png,0,1,6170,0.925,0.9538,0.9117,0.9537,0.9115,0.931,0.9
0616.png,0,1,14865,0.941,0.9391,0.8852,0.939,0.8849,0.9159,0.89
0627.png,0,1,3512,0.951,0.9833,0.9672,0.9833,0.9672,0.9688,0.9
0638.png,0,1,338,0.889,0.8806,0.7866,0.8771,0.7811,0.8735,0.9
0642.png,0,1,5019,0.959,0.9835,0.9675,0.9836,0.9677,0.9753,0.91
0644.png,0,1,804,0.923,0.9658,0.9338,0.9658,0.9338,0.9511,0.91
0647.png,0,1,739,0.909,0.9317,0.8722,0.9317,0.8722,0.9301,0.89
0651.png,0,1,4302,0.934,0.9604,0.9238,0.9606,0.9242,0.9697,0.88
0652.png,0,1,288,0.919,0.9532,0.9106,0.9532,0.9106,0.9222,0.88
0657.png,0,1,5543,0.952,0.9737,0.9487,0.9737,0.9487,0.958,0.89
0674.png,0,4,6302,0.951,0.9596,0.9223,0.9596,0.9223,0.9545,0.89
0674.png,1,4,2051,0.937,0.9574,0.9183,0.9574,0.9182,0.9482,0.04
0674.png,2,4,1821,0.901,0.8622,0.7578,0.8624,0.7582,0.8744,0.04
0674.png,3,4,467,0.896,0.873,0.7745,0.8724,0.7737,0.8168,0.04
0679.png,0,1,1009,0.83,0.9187,0.8496,0.9204,0.8526,0.8565,0.91
0682.png,0,1,2519,0.95,0.9442,0.8944,0.9442,0.8944,0.9534,0.92
0706.png,0,4,493,0.879,0.8067,0.676,0.8056,0.6745,0.8067,0.92
0706.png,1,4,7950,0.938,0.9746,0.9505,0.9747,0.9506,0.9622,0.04
0706.png,2,4,2229,0.913,0.9379,0.8831,0.9383,0.8838,0.9343,0.04
0706.png,3,4,2108,0.857,0.861,0.7559,0.8611,0.7561,0.8238,0.04
0712.png,0,2,1147,0.938,0.9699,0.9416,0.9699,0.9416,0.9411,0.94
0712.png,1,2,128,0.842,0.8612,0.7562,0.8612,0.7562,0.8607,0.04
0715.png,0,1,209,0.9,0.9388,0.8846,0.9431,0.8922,0.9353,0.88
0717.png,0,1,2221,0.889,0.8999,0.818,0.9008,0.8194,0.9057,0.93
0721.png,0,1,1005,0.851,0.9402,0.8871,0.94,0.8868,0.8571,0.89
0728.png,0,1,912,0.914,0.9141,0.8419,0.9146,0.8427,0.9123,0.91
0729.png,0,1,7038,0.904,0.9239,0.8586,0.9244,0.8595,0.8917,0.86
0730.png,0,1,47,0.831,0.5072,0.3398,0.5109,0.3431,0.4696,0.89
0738.png,0,2,91,0.622,0.6423,0.4731,0.6423,0.4731,0.6207,0.87
0738.png,1,2,991,0.926,0.9093,0.8336,0.9093,0.8336,0.96,0.04
0745.png,0,1,8759,0.951,0.9826,0.9658,0.9828,0.9661,0.9872,0.92
0757.png,0,1,541,0.934,0.9479,0.9009,0.9479,0.9009,0.932,0.94
0763.png,0,1,15821,0.939,0.9682,0.9384,0.9681,0.9383,0.9443,0.95
0781.png,0,1,812,0.834,0.894,0.8083,0.8943,0.8087,0.8633,0.89
0796.png,0,1,8163,0.955,0.9843,0.9692,0.9843,0.9691,0.9825,0.9
0798.png,0,1,812,0.861,0.7459,0.5948,0.7465,0.5955,0.719,0.85
0802.png,0,1,1894,0.925,0.936,0.8798,0.9363,0.8802,0.8621,0.9
0806.png,0,1,7308,0.957,0.9771,0.9551,0.9771,0.9551,0.9833,0.86
0809.png,0,1,2159,0.913,0.9713,0.9442,0.9713,0.9442,0.8135,0.87
0813.png,0,1,570,0.9,0.9454,0.8964,0.9454,0.8964,0.9019,0.85
0816.png,0,1,20,0.627,0.6875,0.5238,0.6667,0.5,0.4,0.84
0820.png,0,1,12943,0.906,0.7967,0.6622,0.8018,0.6692,0.9248,0.83
0824.png,0,1,1322,0.827,0.9498,0.9045,0.9497,0.9042,0.8379,0.84
0830.png,0,2,292,0.911,0.9073,0.8303,0.9103,0.8354,0.9045,0.84
0830.png,1,2,133,0.764,0.8306,0.7102,0.8294,0.7086,0.7173,0.04
0833.png,0,1,1806,0.933,0.942,0.8903,0.9422,0.8908,0.9496,0.89
0834.png,0,1,727,0.907,0.9174,0.8474,0.918,0.8484,0.8967,0.84
0835.png,0,1,2012,0.94,0.9311,0.871,0.9313,0.8714,0.9396,0.86
0842.png,0,2,97,0.856,0.8111,0.6822,0.8023,0.6698,0.7342,0.82
0842.png,1,2,1177,0.901,0.9058,0.8278,0.899,0.8165,0.8735,0.04
0847.png,0,1,4830,0.962,0.9684,0.9387,0.9684,0.9387,0.9734,0.83
0849.png,0,1,545,0.93,0.9588,0.9209,0.9597,0.9225,0.9379,0.86
0865.png,0,1,1436,0.928,0.9289,0.8672,0.9292,0.8678,0.891,0.86
0867.png,0,1,80,0.899,0.837,0.7196,0.8398,0.7238,0.8639,0.87
0874.png,0,1,18853,0.927,0.9214,0.8542,0.9214,0.8542,0.9381,0.87
0880.png,0,2,1663,0.95,0.9619,0.9265,0.9615,0.9259,0.9612,0.97
0880.png,1,2,641,0.903,0.8725,0.7738,0.8725,0.7738,0.8953,0.04
0881.png,0,2,786,0.887,0.857,0.7498,0.8584,0.752,0.8787,0.95
0881.png,1,2,242,0.875,0.9177,0.848,0.9174,0.8474,0.8618,0.04
0887.png,0,1,11779,0.912,0.9523,0.909,0.9557,0.9152,0.9186,0.95
0900.png,0,2,5671,0.932,0.8955,0.8108,0.9018,0.8212,0.9085,0.95
0900.png,1,2,294,0.766,0.8204,0.6955,0.8185,0.6927,0.794,0.04
0901.png,0,1,6260,0.965,0.9838,0.9682,0.9839,0.9684,0.9798,0.95
0904.png,0,1,50,0.875,0.768,0.6234,0.7742,0.6316,0.8174,0.92
0905.png,0,1,494,0.881,0.9191,0.8504,0.9191,0.8504,0.8753,0.98
0906.png,0,1,172,0.912,0.9096,0.8342,0.9096,0.8342,0.8974,1.07
0922.png,0,1,617,0.888,0.9389,0.8848,0.9389,0.8848,0.9445,0.98
0937.png,0,2,886,0.843,0.9221,0.8554,0.923,0.857,0.9071,1.0
0937.png,1,2,451,0.753,0.8088,0.679,0.8103,0.6812,0.8603,0.05
0940.png,0,2,12305,0.927,0.9588,0.9209,0.9587,0.9206,0.9427,1.08
0940.png,1,2,660,0.853,0.8966,0.8125,0.8948,0.8097,0.7647,0.05
0946.png,0,1,1895,0.869,0.9156,0.8444,0.915,0.8433,0.8871,0.99
0947.png,0,1,19795,0.942,0.9113,0.8371,0.912,0.8383,0.9537,1.03
0948.png,0,1,840,0.862,0.9339,0.876,0.9333,0.8749,0.9003,1.02
0949.png,0,1,925,0.903,0.8766,0.7803,0.8783,0.7829,0.9047,0.98
0954.png,0,1,1477,0.92,0.9469,0.8991,0.9465,0.8985,0.899,0.97
0955.png,0,1,137,0.854,0.8168,0.6903,0.8168,0.6903,0.7797,0.94
0958.png,0,1,382,0.913,0.9335,0.8753,0.9347,0.8774,0.9245,0.96
0961.png,0,1,735,0.921,0.941,0.8886,0.9409,0.8885,0.9217,0.93
0964.png,0,3,2293,0.941,0.9699,0.9416,0.9699,0.9416,0.9569,0.91
0964.png,1,3,138,0.765,0.8922,0.8054,0.8955,0.8108,0.823,0.05
0964.png,2,3,280,0.609,0.7106,0.5511,0.7099,0.5503,0.7166,0.04
0971.png,0,2,2706,0.962,0.9825,0.9655,0.9826,0.9659,0.9828,0.92
0971.png,1,2,924,0.93,0.9703,0.9423,0.9708,0.9433,0.9349,0.04
0973.png,0,1,857,0.878,0.8644,0.7613,0.8653,0.7625,0.8579,0.89
0974.png,0,5,5172,0.918,0.9699,0.9416,0.9698,0.9415,0.9403,0.89
0974.png,1,5,2078,0.917,0.965,0.9324,0.9657,0.9337,0.8996,0.04
0974.png,2,5,1799,0.918,0.9689,0.9396,0.9689,0.9396,0.9,0.04
0974.png,3,5,657,0.81,0.8562,0.7485,0.8562,0.7485,0.7218,0.04
0974.png,4,5,74,0.59,0.434,0.2771,0.4038,0.253,0.4375,0.04
0976.png,0,1,1374,0.931,0.9218,0.8549,0.9218,0.8549,0.8894,0.89
0979.png,0,1,570,0.884,0.8412,0.726,0.8419,0.7269,0.88,0.93
0985.png,0,3,3446,0.904,0.9577,0.9188,0.9572,0.918,0.9481,0.88
0985.png,1,3,4064,0.927,0.948,0.9011,0.9481,0.9013,0.9258,0.04
0985.png,2,3,705,0.924,0.9362,0.88,0.9361,0.8798,0.9092,0.04
1003.png,0,1,973,0.919,0.9461,0.8978,0.9471,0.8996,0.8819,0.91
1009.png,0,2,157,0.891,0.8472,0.7349,0.8392,0.7229,0.7681,0.95
1009.png,1,2,2454,0.916,0.9257,0.8617,0.9257,0.8617,0.872,0.05
