image,component,n_components,gt_px,sam_score,dice_raw,iou_raw,dice_post,iou_post,dice_tightbox,secs
0001.png,0,1,684,0.878,0.8187,0.693,0.8192,0.6937,0.8996,1.42
0002.png,0,1,3010,0.804,0.6257,0.4552,0.6254,0.455,0.8233,0.97
0003.png,0,1,4982,0.94,0.9653,0.933,0.9655,0.9333,0.9598,0.99
0004.png,0,1,565,0.904,0.8037,0.6718,0.8048,0.6734,0.8983,0.96
0005.png,0,1,1754,0.939,0.9024,0.8222,0.9029,0.823,0.923,0.96
0006.png,0,1,1920,0.913,0.9486,0.9022,0.9488,0.9026,0.9531,1.08
0007.png,0,1,5375,0.809,0.6037,0.4323,0.606,0.4347,0.874,1.04
0008.png,0,1,2308,0.899,0.8823,0.7895,0.8828,0.7903,0.9242,1.03
0009.png,0,1,10995,0.931,0.9261,0.8623,0.9274,0.8646,0.9747,1.03
0010.png,0,1,11281,0.943,0.8204,0.6955,0.8206,0.6958,0.852,1.02
0025.png,0,1,1062,0.9,0.7178,0.5598,0.7183,0.5604,0.9223,1.01
0030.png,0,1,4699,0.948,0.9369,0.8812,0.9372,0.8819,0.9655,1.02
0033.png,0,1,1880,0.9,0.922,0.8552,0.9213,0.8542,0.9069,1.0
0046.png,0,2,1856,0.938,0.8734,0.7753,0.8738,0.7759,0.9074,1.06
0046.png,1,2,1003,0.924,0.7643,0.6185,0.7666,0.6216,0.8389,0.04
0047.png,0,1,738,0.926,0.81,0.6807,0.8109,0.682,0.8486,1.14
0057.png,0,1,719,0.934,0.859,0.7529,0.8595,0.7537,0.92,1.15
0058.png,0,1,3193,0.933,0.9301,0.8693,0.9304,0.8698,0.9226,1.06
0062.png,0,1,1118,0.959,0.9758,0.9528,0.9758,0.9528,0.9796,1.02
0068.png,0,1,400,0.921,0.8602,0.7547,0.8611,0.7561,0.8793,1.04
0078.png,0,1,2054,0.932,0.9238,0.8584,0.9235,0.8579,0.9308,0.96
0079.png,0,1,43,0.842,0.6087,0.4375,0.6131,0.4421,0.7238,1.05
0082.png,0,1,1263,0.912,0.8755,0.7786,0.8761,0.7795,0.8941,1.0
0085.png,0,1,705,0.922,0.8816,0.7883,0.8827,0.7901,0.9021,0.99
0089.png,0,2,2342,0.871,0.9346,0.8772,0.946,0.8975,0.9776,1.0
0089.png,1,2,235,0.914,0.9254,0.8611,0.9251,0.8606,0.9244,0.05
0096.png,0,1,593,0.919,0.7785,0.6374,0.7791,0.6381,0.7975,1.02
0107.png,0,1,814,0.902,0.9184,0.8492,0.9184,0.8492,0.9516,0.98
0108.png,0,1,4094,0.951,0.9342,0.8764,0.9345,0.877,0.9478,1.02
0122.png,0,1,1525,0.881,0.9356,0.879,0.9385,0.8842,0.9594,1.01
0124.png,0,1,1976,0.93,0.9255,0.8614,0.9253,0.8609,0.9272,0.99
0126.png,0,1,963,0.908,0.9093,0.8338,0.9098,0.8345,0.9546,0.97
0133.png,0,1,3089,0.939,0.9471,0.8994,0.9469,0.8991,0.9309,0.99
