image,gt_px,sam_score,dice_raw,iou_raw,dice_post,iou_post,dice_tightbox,secs
0001.png,684,0.878,0.8187,0.693,0.8192,0.6937,0.8996,7.9
0002.png,3010,0.804,0.6257,0.4552,0.6254,0.455,0.8233,5.92
0003.png,4982,0.94,0.9653,0.933,0.9655,0.9333,0.9598,7.0
0004.png,565,0.904,0.8037,0.6718,0.8048,0.6734,0.8983,11.18
0005.png,1754,0.939,0.9024,0.8222,0.9029,0.823,0.923,6.05
0006.png,1920,0.913,0.9486,0.9022,0.9488,0.9026,0.9531,4.93
0007.png,5375,0.809,0.6037,0.4323,0.606,0.4347,0.874,5.64
0008.png,2308,0.899,0.8823,0.7895,0.8828,0.7903,0.9242,5.21
0009.png,10995,0.931,0.9261,0.8623,0.9274,0.8646,0.9747,5.79
0010.png,11281,0.943,0.8204,0.6955,0.8206,0.6958,0.852,5.05
0025.png,1062,0.9,0.7178,0.5598,0.7183,0.5604,0.9223,5.71
0030.png,4699,0.948,0.9369,0.8812,0.9372,0.8819,0.9655,4.54
0033.png,1880,0.9,0.922,0.8552,0.9213,0.8542,0.9069,5.72
0046.png,2859,0.812,0.3403,0.205,0.3431,0.2071,0.4133,5.89
0047.png,738,0.926,0.8137,0.6858,0.8146,0.6871,0.8486,4.13
0057.png,719,0.932,0.8312,0.7112,0.8336,0.7147,0.92,5.84
0058.png,3193,0.934,0.9286,0.8667,0.9288,0.867,0.9226,4.02
0062.png,1118,0.957,0.9763,0.9537,0.9763,0.9537,0.9796,5.36
0068.png,400,0.92,0.8602,0.7547,0.8611,0.7561,0.8793,5.32
0078.png,2054,0.934,0.9243,0.8592,0.9242,0.8592,0.9308,6.04
0079.png,43,0.841,0.6222,0.4516,0.6222,0.4516,0.7238,5.66
0082.png,1263,0.911,0.8796,0.785,0.8802,0.786,0.8941,5.74
0085.png,705,0.923,0.8719,0.7729,0.8746,0.7772,0.9021,5.64
0089.png,2577,0.74,0.4464,0.2873,0.4462,0.2871,0.8341,5.32
0096.png,593,0.919,0.7785,0.6374,0.7791,0.6381,0.7975,5.59
0107.png,814,0.914,0.9321,0.8728,0.9321,0.8728,0.9516,5.33
0108.png,4094,0.951,0.9312,0.8712,0.9317,0.8722,0.9478,4.51
0122.png,1525,0.878,0.9221,0.8555,0.9244,0.8594,0.9594,5.27
0124.png,1976,0.93,0.9255,0.8613,0.9252,0.8608,0.9272,5.74
0126.png,963,0.911,0.9099,0.8346,0.9103,0.8354,0.9546,5.59
0133.png,3089,0.941,0.9458,0.8972,0.9457,0.8969,0.9309,5.77
0134.png,1992,0.936,0.9489,0.9027,0.9491,0.9031,0.9633,5.74
0136.png,5976,0.761,0.3585,0.2184,0.3591,0.2189,0.9379,4.54
0143.png,360,0.951,0.9117,0.8376,0.9128,0.8396,0.9257,5.85
0146.png,152,0.932,0.9259,0.8621,0.9226,0.8563,0.9316,5.7
0164.png,1578,0.731,0.1499,0.081,0.1505,0.0814,0.1706,5.59
0177.png,523,0.879,0.8586,0.7522,0.8586,0.7522,0.9058,1.13
0180.png,3979,0.894,0.3027,0.1784,0.3027,0.1783,0.5865,1.05
0190.png,1683,0.943,0.6867,0.5228,0.6867,0.5228,0.7065,1.1
0192.png,3400,0.761,0.3646,0.223,0.3652,0.2234,0.4613,1.03
0201.png,2641,0.807,0.7615,0.6149,0.7618,0.6152,0.949,1.02
0203.png,7347,0.956,0.3705,0.2274,0.3694,0.2265,0.5029,0.99
0208.png,2756,0.931,0.934,0.8762,0.9343,0.8767,0.9445,0.97
0211.png,3910,0.793,0.8146,0.6872,0.8512,0.741,0.4193,0.99
0213.png,2269,0.947,0.954,0.9121,0.954,0.9121,0.9587,0.96
0217.png,2058,0.941,0.9616,0.926,0.9616,0.926,0.9595,0.99
0233.png,285,0.887,0.8994,0.8171,0.8994,0.8171,0.9091,0.97
0235.png,898,0.869,0.8307,0.7104,0.8319,0.7121,0.9536,0.93
0245.png,74,0.859,0.3333,0.2,0.3348,0.2011,0.4494,0.92
0251.png,192,0.934,0.824,0.7007,0.824,0.7007,0.861,0.99
0256.png,2498,0.948,0.9542,0.9123,0.9545,0.913,0.9617,0.99
0259.png,2769,0.82,0.0561,0.0289,0.0561,0.0289,0.0876,0.99
0262.png,853,0.909,0.873,0.7745,0.8734,0.7753,0.9214,0.97
0276.png,1146,0.892,0.7941,0.6585,0.7941,0.6585,0.8986,1.02
0278.png,558,0.935,0.9051,0.8267,0.9058,0.8279,0.957,1.05
0284.png,735,0.945,0.9394,0.8858,0.9394,0.8858,0.9516,1.02
0289.png,1025,0.938,0.8871,0.797,0.8878,0.7983,0.9334,1.0
0291.png,1569,0.944,0.9492,0.9032,0.9495,0.9038,0.9492,0.99
0300.png,5907,0.66,0.9176,0.8478,0.9208,0.8531,0.9223,1.0
0301.png,3009,0.708,0.2412,0.1371,0.2418,0.1376,0.829,1.06
0303.png,2569,0.897,0.9126,0.8392,0.83,0.7094,0.8286,1.04
0322.png,543,0.93,0.9524,0.9091,0.9524,0.9091,0.9463,0.98
0326.png,15858,0.95,0.904,0.8249,0.904,0.8249,0.8857,1.08
0334.png,3152,0.877,0.2231,0.1256,0.2231,0.1256,0.337,1.02
0337.png,1176,0.941,0.5409,0.3707,0.541,0.3708,0.5578,1.01
0339.png,2460,0.899,0.8999,0.818,0.7838,0.6445,0.7901,0.98
0341.png,212,0.868,0.6635,0.4964,0.6645,0.4976,0.8096,0.98
0349.png,1699,0.417,0.0235,0.0119,0.0214,0.0108,0.0,0.94
0355.png,2130,0.966,0.9731,0.9477,0.9731,0.9477,0.9762,0.96
0356.png,6585,0.97,0.9677,0.9375,0.9677,0.9375,0.97,0.94
0363.png,4820,0.953,0.9517,0.9078,0.9522,0.9087,0.9563,0.96
0365.png,20164,0.95,0.8583,0.7518,0.8599,0.7542,0.9439,0.97
0369.png,3338,0.918,0.8854,0.7944,0.8858,0.7949,0.944,0.95
0375.png,3416,0.973,0.981,0.9626,0.981,0.9626,0.9821,0.92
0376.png,831,0.921,0.7142,0.5555,0.7142,0.5555,0.7893,0.93
0382.png,17205,0.888,0.7597,0.6126,0.769,0.6248,0.9074,1.0
0390.png,1155,0.918,0.8616,0.7569,0.8629,0.7589,0.9018,1.0
0398.png,601,0.932,0.9378,0.8829,0.9378,0.8829,0.9327,0.99
0405.png,967,0.951,0.9214,0.8543,0.9204,0.8525,0.9305,0.94
0407.png,1909,0.906,0.8854,0.7943,0.8851,0.7938,0.8701,1.03
0412.png,1469,0.924,0.9062,0.8285,0.9062,0.8284,0.916,0.98
0416.png,6997,0.956,0.9665,0.9351,0.9667,0.9355,0.9794,1.04
0429.png,2035,0.958,0.9743,0.9499,0.974,0.9494,0.9727,1.04
0437.png,8347,0.939,0.9156,0.8443,0.9187,0.8496,0.9714,0.97
0438.png,8508,0.929,0.7734,0.6306,0.7735,0.6307,0.9106,0.95
0439.png,2333,0.89,0.8222,0.6981,0.8242,0.701,0.8818,0.93
0447.png,1032,0.935,0.9173,0.8473,0.9182,0.8487,0.931,0.94
0450.png,532,0.892,0.8754,0.7784,0.8754,0.7784,0.9198,1.0
0451.png,6380,0.968,0.9457,0.897,0.9455,0.8967,0.9413,0.97
0456.png,38,0.819,0.5414,0.3711,0.5455,0.375,0.6596,1.06
0466.png,2220,0.929,0.931,0.8708,0.931,0.8708,0.9426,0.93
0470.png,2912,0.952,0.8437,0.7297,0.8438,0.7299,0.8767,0.96
0475.png,122,0.849,0.7427,0.5907,0.7475,0.5969,0.8142,0.96
0485.png,360,0.858,0.6397,0.4703,0.6438,0.4747,0.778,0.95
0494.png,1572,0.948,0.9272,0.8643,0.9275,0.8648,0.9337,1.0
0496.png,1204,0.926,0.9605,0.9241,0.9601,0.9233,0.964,0.95
0503.png,2555,0.973,0.9758,0.9527,0.9756,0.9523,0.9765,0.94
0504.png,2463,0.898,0.6208,0.4501,0.4743,0.3109,0.4848,0.93
0511.png,4891,0.913,0.8306,0.7103,0.8296,0.7089,0.9709,0.94
0516.png,4615,0.773,0.0619,0.0319,0.0616,0.0318,0.0724,0.93
0517.png,8084,0.958,0.9698,0.9413,0.9698,0.9413,0.969,0.9
0525.png,3381,0.958,0.9255,0.8614,0.9258,0.8618,0.9493,0.94
